County Name,State,Household Median Income,Family's Median Income,Total Population,State Code,County Code,State Abbr
St. Clair,Alabama,58308,68977,87989,01,115,AL
Cullman,Alabama,44918,56490,82853,01,043,AL
Houston,Alabama,47580,60763,104702,01,069,AL
Tuscaloosa,Alabama,53326,68736,207305,01,125,AL
Coffee,Alabama,55637,67551,51662,01,031,AL
Chilton,Alabama,47468,54928,44055,01,021,AL
Coosa,Alabama,38990,48681,10757,01,037,AL
Etowah,Alabama,44637,57404,102748,01,055,AL
Lamar,Alabama,38364,52725,13885,01,075,AL
Butler,Alabama,40688,50503,19828,01,013,AL
Walker,Alabama,43629,57528,64110,01,127,AL
Greene,Alabama,24145,37500,8324,01,063,AL
Bullock,Alabama,37785,43333,10248,01,011,AL
Chambers,Alabama,42289,53567,33660,01,017,AL
Monroe,Alabama,30441,49360,21270,01,099,AL
Lawrence,Alabama,44886,55426,33058,01,079,AL
Lee,Alabama,51463,72727,161152,01,081,AL
Marion,Alabama,35930,48281,29866,01,093,AL
Pickens,Alabama,39848,54098,20243,01,107,AL
Sumter,Alabama,24320,43938,12797,01,119,AL
Jefferson,Alabama,53901,70664,659680,01,073,AL
Choctaw,Alabama,35892,46759,12925,01,023,AL
Franklin,Alabama,43514,51224,31466,01,059,AL
Marengo,Alabama,33241,59052,19321,01,091,AL
Russell,Alabama,42443,54213,57952,01,113,AL
Cherokee,Alabama,41919,55542,25903,01,019,AL
Covington,Alabama,42189,54031,37200,01,039,AL
Crenshaw,Alabama,43163,57778,13844,01,041,AL
Dallas,Alabama,33845,45333,39149,01,047,AL
Lauderdale,Alabama,48094,65808,92556,01,077,AL
Lowndes,Alabama,30036,41444,10079,01,085,AL
Macon,Alabama,33370,48723,18708,01,087,AL
Limestone,Alabama,59686,75234,94727,01,083,AL
Shelby,Alabama,77799,95848,213432,01,117,AL
Winston,Alabama,35788,47885,23784,01,133,AL
Baldwin,Alabama,58320,75850,212830,01,003,AL
Elmore,Alabama,60891,72545,81144,01,051,AL
Jackson,Alabama,41769,52790,51852,01,071,AL
Talladega,Alabama,41325,54699,80387,01,121,AL
Washington,Alabama,41370,52878,16541,01,129,AL
