,County Name,State,Household Median Income,Family's Median Income,Total Population,State Code,County Code,State Abbr
0,St. Clair,Alabama,58308,68977,87989,01,115,AL
1,Cullman,Alabama,44918,56490,82853,01,043,AL
2,Houston,Alabama,47580,60763,104702,01,069,AL
3,Tuscaloosa,Alabama,53326,68736,207305,01,125,AL
4,Coffee,Alabama,55637,67551,51662,01,031,AL
5,Chilton,Alabama,47468,54928,44055,01,021,AL
6,Coosa,Alabama,38990,48681,10757,01,037,AL
7,Etowah,Alabama,44637,57404,102748,01,055,AL
8,Lamar,Alabama,38364,52725,13885,01,075,AL
9,Butler,Alabama,40688,50503,19828,01,013,AL
10,Walker,Alabama,43629,57528,64110,01,127,AL
11,Greene,Alabama,24145,37500,8324,01,063,AL
12,Bullock,Alabama,37785,43333,10248,01,011,AL
13,Chambers,Alabama,42289,53567,33660,01,017,AL
14,Monroe,Alabama,30441,49360,21270,01,099,AL
15,Lawrence,Alabama,44886,55426,33058,01,079,AL
16,Lee,Alabama,51463,72727,161152,01,081,AL
17,Marion,Alabama,35930,48281,29866,01,093,AL
18,Pickens,Alabama,39848,54098,20243,01,107,AL
19,Sumter,Alabama,24320,43938,12797,01,119,AL
20,Jefferson,Alabama,53901,70664,659680,01,073,AL
21,Choctaw,Alabama,35892,46759,12925,01,023,AL
22,Franklin,Alabama,43514,51224,31466,01,059,AL
23,Marengo,Alabama,33241,59052,19321,01,091,AL
24,Russell,Alabama,42443,54213,57952,01,113,AL
25,Cherokee,Alabama,41919,55542,25903,01,019,AL
26,Covington,Alabama,42189,54031,37200,01,039,AL
27,Crenshaw,Alabama,43163,57778,13844,01,041,AL
28,Dallas,Alabama,33845,45333,39149,01,047,AL
29,Lauderdale,Alabama,48094,65808,92556,01,077,AL
30,Lowndes,Alabama,30036,41444,10079,01,085,AL
31,Macon,Alabama,33370,48723,18708,01,087,AL
32,Limestone,Alabama,59686,75234,94727,01,083,AL
33,Shelby,Alabama,77799,95848,213432,01,117,AL
34,Winston,Alabama,35788,47885,23784,01,133,AL
35,Baldwin,Alabama,58320,75850,212830,01,003,AL
36,Elmore,Alabama,60891,72545,81144,01,051,AL
37,Jackson,Alabama,41769,52790,51852,01,071,AL
38,Talladega,Alabama,41325,54699,80387,01,121,AL
39,Washington,Alabama,41370,52878,16541,01,129,AL
40,Clay,Alabama,40845,49976,13337,01,027,AL
41,Morgan,Alabama,52156,64035,119213,01,103,AL
42,Pike,Alabama,37446,57006,33333,01,109,AL
43,Colbert,Alabama,48065,60740,54771,01,033,AL
44,Dale,Alabama,47214,57404,49277,01,045,AL
45,Hale,Alabama,34046,54529,14809,01,065,AL
46,DeKalb,Alabama,40440,49250,71310,01,049,AL
47,Escambia,Alabama,36275,48964,37057,01,053,AL
48,Randolph,Alabama,43395,54555,22647,01,111,AL
49,Mobile,Alabama,47583,60779,414114,01,097,AL
50,Perry,Alabama,23447,35469,9293,01,105,AL
51,Cleburne,Alabama,44741,57342,14916,01,029,AL
52,Conecuh,Alabama,37837,47941,12394,01,035,AL
53,Barbour,Alabama,32525,41704,25361,01,005,AL
54,Bibb,Alabama,47542,57891,22493,01,007,AL
55,Calhoun,Alabama,47255,59147,114618,01,015,AL
56,Clarke,Alabama,37404,52956,24128,01,025,AL
57,Fayette,Alabama,39856,51379,16494,01,057,AL
58,Montgomery,Alabama,50124,63191,226941,01,101,AL
59,Marshall,Alabama,45983,56811,95643,01,095,AL
60,Blount,Alabama,49358,62295,57681,01,009,AL
61,Henry,Alabama,50017,60684,17133,01,067,AL
62,Madison,Alabama,65449,85537,362276,01,089,AL
63,Autauga,Alabama,58731,71103,55380,01,001,AL
64,Tallapoosa,Alabama,45828,56392,40541,01,123,AL
65,Geneva,Alabama,41732,50660,26417,01,061,AL
66,Wilcox,Alabama,31014,42438,10681,01,131,AL
67,Haines Borough,Alaska,58059,81034,2518,02,100,AK
