zip,lat,lng,city,state_name,population,county_fips,county_name
601,18.180039999999998,-66.75218000000001,Adjuntas,Puerto Rico,17242,72001,Adjuntas
602,18.36073,-67.17517,Aguada,Puerto Rico,38442,72003,Aguada
603,18.45439,-67.12201999999999,Aguadilla,Puerto Rico,48814,72005,Aguadilla
606,18.16724,-66.93828,Maricao,Puerto Rico,6437,72093,Maricao
610,18.29032,-67.12243000000001,Anasco,Puerto Rico,27073,72011,Añasco
612,18.40699,-66.70803000000001,Arecibo,Puerto Rico,60303,72013,Arecibo
616,18.41753,-66.66814000000001,Bajadero,Puerto Rico,10765,72013,Arecibo
617,18.44124,-66.55917,Barceloneta,Puerto Rico,23974,72017,Barceloneta
622,17.99174,-67.15248000000001,Boqueron,Puerto Rico,6578,72023,Cabo Rojo
623,18.08355,-67.15417,Cabo Rojo,Puerto Rico,42427,72023,Cabo Rojo
624,18.06465,-66.71823,Penuelas,Puerto Rico,22707,72111,Peñuelas
627,18.419,-66.86033,Camuy,Puerto Rico,32222,72027,Camuy
631,18.18555,-66.83327,Castaner,Puerto Rico,1568,72081,Lares
637,18.07982,-66.94274,Sabana Grande,Puerto Rico,22975,72121,Sabana Grande
638,18.28904,-66.5151,Ciales,Puerto Rico,16701,72039,Ciales
641,18.26408,-66.71376,Utuado,Puerto Rico,27571,72141,Utuado
646,18.43401,-66.2833,Dorado,Puerto Rico,37494,72051,Dorado
647,17.96612,-66.94383,Ensenada,Puerto Rico,5643,72055,Guánica
650,18.34321,-66.58601,Florida,Puerto Rico,14760,72054,Florida
652,18.45542,-66.60635,Garrochales,Puerto Rico,3697,72013,Arecibo
653,17.98574,-66.89033,Guanica,Puerto Rico,11140,72055,Guánica
656,18.0528,-66.79182,Guayanilla,Puerto Rico,18979,72059,Guayanilla
659,18.41069,-66.79648,Hatillo,Puerto Rico,40390,72065,Hatillo
660,18.134179999999997,-67.11402,Hormigueros,Puerto Rico,16180,72067,Hormigueros
662,18.46208,-67.01445,Isabela,Puerto Rico,40290,72071,Isabela
664,18.21152,-66.5889,Jayuya,Puerto Rico,14991,72073,Jayuya
667,18.01227,-67.04089,Lajas,Puerto Rico,23590,72079,Lajas
669,18.27102,-66.86981999999999,Lares,Puerto Rico,25653,72081,Lares
670,18.23777,-66.98877,Las Marias,Puerto Rico,8498,72083,Las Marías
674,18.421229999999998,-66.49004000000001,Manati,Puerto Rico,39859,72091,Manatí
676,18.3779,-67.08083,Moca,Puerto Rico,36995,72099,Moca
677,18.3357,-67.23168000000001,Rincon,Puerto Rico,14311,72117,Rincón
678,18.43269,-66.92811999999999,Quebradillas,Puerto Rico,26091,72115,Quebradillas
680,18.16327,-67.36195,Mayaguez,Puerto Rico,46395,72097,Mayagüez
682,18.22117,-67.1538,Mayaguez,Puerto Rico,32359,72097,Mayagüez
683,18.10998,-67.0373,San German,Puerto Rico,30424,72125,San Germán
685,18.33625,-66.97225,San Sebastian,Puerto Rico,38039,72131,San Sebastián
687,18.317079999999997,-66.4203,Morovis,Puerto Rico,31320,72101,Morovis
688,18.38056,-66.62425,Sabana Hoyos,Puerto Rico,12202,72013,Arecibo
690,18.49567,-67.09825,San Antonio,Puerto Rico,5352,72005,Aguadilla
692,18.40845,-66.33691,Vega Alta,Puerto Rico,35840,72143,Vega Alta
693,18.42132,-66.40012,Vega Baja,Puerto Rico,54428,72145,Vega Baja
694,18.48329,-66.39260999999999,Vega Baja,Puerto Rico,69,72145,Vega Baja
698,18.06728,-66.85273000000001,Yauco,Puerto Rico,36312,72153,Yauco
703,18.24841,-66.13119,Aguas Buenas,Puerto Rico,26320,72007,Aguas Buenas
704,17.96719,-66.22017,Aguirre,Puerto Rico,8274,72123,Salinas
705,18.12946,-66.26477,Aibonito,Puerto Rico,23176,72009,Aibonito
707,18.01814,-65.92201,Maunabo,Puerto Rico,10964,72095,Maunabo
714,17.99854,-66.05606,Arroyo,Puerto Rico,17998,72015,Arroyo
715,18.01172,-66.55985,Mercedita,Puerto Rico,2972,72113,Ponce
716,17.9994,-66.60007,Ponce,Puerto Rico,28089,72113,Ponce
717,18.00333,-66.61331,Ponce,Puerto Rico,16659,72113,Ponce
718,18.2333,-65.76108,Naguabo,Puerto Rico,25715,72103,Naguabo
719,18.2888,-66.25336,Naranjito,Puerto Rico,29119,72105,Naranjito
720,18.21772,-66.42817,Orocovis,Puerto Rico,21276,72107,Orocovis
723,18.03237,-66.01233,Patillas,Puerto Rico,17393,72109,Patillas
725,18.21858,-66.04275,Caguas,Puerto Rico,80555,72025,Caguas
727,18.21495,-66.07356,Caguas,Puerto Rico,54823,72025,Caguas
728,18.00627,-66.6612,Ponce,Puerto Rico,39698,72113,Ponce
729,18.331139999999998,-65.88722,Canovanas,Puerto Rico,51593,72029,Canóvanas
730,18.030910000000002,-66.61659,Ponce,Puerto Rico,31634,72113,Ponce
731,18.09775,-66.63355,Ponce,Puerto Rico,12722,72113,Ponce
735,18.25365,-65.68306,Ceiba,Puerto Rico,12404,72037,Ceiba
736,18.10652,-66.15258,Cayey,Puerto Rico,47411,72035,Cayey
738,18.318279999999998,-65.66785,Fajardo,Puerto Rico,30376,72053,Fajardo
739,18.17681,-66.16055,Cidra,Puerto Rico,36847,72041,Cidra
740,18.33221,-65.63431,Puerto Real,Puerto Rico,1625,72053,Fajardo
741,18.16564,-65.75563000000001,Punta Santiago,Puerto Rico,4880,72069,Humacao
745,18.34827,-65.8172,Rio Grande,Puerto Rico,51429,72119,Río Grande
751,18.01023,-66.24750999999999,Salinas,Puerto Rico,21009,72123,Salinas
754,18.1457,-65.97606999999999,San Lorenzo,Puerto Rico,37727,72129,San Lorenzo
757,17.99727,-66.38891,Santa Isabel,Puerto Rico,22066,72133,Santa Isabel
765,18.128510000000002,-65.44093000000001,Vieques,Puerto Rico,8607,72147,Vieques
766,18.13299,-66.47703,Villalba,Puerto Rico,23201,72149,Villalba
767,18.070529999999998,-65.89604,Yabucoa,Puerto Rico,34166,72151,Yabucoa
769,18.097,-66.36101,Coamo,Puerto Rico,39121,72043,Coamo
771,18.187479999999997,-65.86931,Las Piedras,Puerto Rico,37165,72085,Las Piedras
772,18.43267,-65.90836,Loiza,Puerto Rico,20055,72087,Loíza
773,18.34173,-65.7274,Luquillo,Puerto Rico,18547,72089,Luquillo
775,18.313470000000002,-65.29016999999999,Culebra,Puerto Rico,1299,72049,Culebra
777,18.22356,-65.90881,Juncos,Puerto Rico,39994,72077,Juncos
778,18.263379999999998,-65.97936,Gurabo,Puerto Rico,46675,72063,Gurabo
780,18.10417,-66.57174,Coto Laurel,Puerto Rico,11653,72113,Ponce
782,18.22544,-66.22216,Comerio,Puerto Rico,18229,72045,Comerío
783,18.3041,-66.32847,Corozal,Puerto Rico,33372,72047,Corozal
784,18.00543,-66.13391999999999,Guayama,Puerto Rico,40685,72057,Guayama
786,18.15536,-66.22991999999999,La Plata,Puerto Rico,348,72009,Aibonito
791,18.14069,-65.818,Humacao,Puerto Rico,48569,72069,Humacao
794,18.20155,-66.30872,Barranquitas,Puerto Rico,28755,72019,Barranquitas
795,18.05931,-66.50178000000001,Juana Diaz,Puerto Rico,44766,72075,Juana Díaz
901,18.465320000000002,-66.10485,San Juan,Puerto Rico,6536,72127,San Juan
906,18.46446,-66.09499,San Juan,Puerto Rico,184,72127,San Juan
907,18.453129999999998,-66.07778,San Juan,Puerto Rico,16202,72127,San Juan
909,18.44153,-66.06723000000001,San Juan,Puerto Rico,4989,72127,San Juan
911,18.45135,-66.05631,San Juan,Puerto Rico,7242,72127,San Juan
912,18.445339999999998,-66.06018,San Juan,Puerto Rico,5455,72127,San Juan
913,18.45022,-66.04267,San Juan,Puerto Rico,8406,72127,San Juan
915,18.43691,-66.04562,San Juan,Puerto Rico,26131,72127,San Juan
917,18.4214,-66.05005,San Juan,Puerto Rico,18212,72127,San Juan
918,18.42138,-66.06588,San Juan,Puerto Rico,16063,72127,San Juan
920,18.41571,-66.08889,San Juan,Puerto Rico,16809,72127,San Juan
921,18.39224,-66.08853,San Juan,Puerto Rico,33394,72127,San Juan
923,18.40953,-66.03866,San Juan,Puerto Rico,24028,72127,San Juan
924,18.39827,-66.01289,San Juan,Puerto Rico,49508,72127,San Juan
925,18.40031,-66.05055,San Juan,Puerto Rico,6924,72127,San Juan
926,18.3462,-66.05234,San Juan,Puerto Rico,96530,72127,San Juan
927,18.38875,-66.07189,San Juan,Puerto Rico,13351,72127,San Juan
934,18.411379999999998,-66.12399,Fort Buchanan,Puerto Rico,79,72061,Guaynabo
936,18.39548,-66.07376,San Juan,Puerto Rico,812,72127,San Juan
949,18.43017,-66.20883,Toa Baja,Puerto Rico,73891,72137,Toa Baja
950,18.46208,-66.2376,Toa Baja,Puerto Rico,0,72051,Dorado
951,18.428420000000003,-66.25661,Toa Baja,Puerto Rico,0,72137,Toa Baja
952,18.42748,-66.18207,Sabana Seca,Puerto Rico,8156,72137,Toa Baja
953,18.363120000000002,-66.2475,Toa Alta,Puerto Rico,71891,72135,Toa Alta
956,18.32082,-66.17175,Bayamon,Puerto Rico,65355,72021,Bayamón
957,18.36735,-66.18869000000001,Bayamon,Puerto Rico,38915,72021,Bayamón
959,18.38485,-66.15583000000001,Bayamon,Puerto Rico,47459,72021,Bayamón
960,18.41701,-66.14446,Bayamon,Puerto Rico,2221,72021,Bayamón
961,18.41011,-66.16538,Bayamon,Puerto Rico,30784,72021,Bayamón
962,18.43904,-66.13928,Catano,Puerto Rico,19593,72033,Cataño
965,18.43385,-66.11486,Guaynabo,Puerto Rico,7314,72061,Guaynabo
966,18.402260000000002,-66.11757,Guaynabo,Puerto Rico,15710,72061,Guaynabo
968,18.40617,-66.10127,Guaynabo,Puerto Rico,3554,72061,Guaynabo
969,18.36751,-66.10852,Guaynabo,Puerto Rico,42525,72061,Guaynabo
971,18.32131,-66.11811,Guaynabo,Puerto Rico,26640,72061,Guaynabo
976,18.33844,-65.9921,Trujillo Alto,Puerto Rico,58893,72139,Trujillo Alto
979,18.43649,-66.01699,Carolina,Puerto Rico,15897,72031,Carolina
982,18.40992,-65.9917,Carolina,Puerto Rico,14241,72031,Carolina
983,18.418039999999998,-65.97632,Carolina,Puerto Rico,34798,72031,Carolina
985,18.40825,-65.94842,Carolina,Puerto Rico,31845,72031,Carolina
987,18.33935,-65.94313000000001,Carolina,Puerto Rico,57181,72031,Carolina
1001,42.06258,-72.6259,Agawam,Massachusetts,17621,25013,Hampden
1002,42.37492,-72.4621,Amherst,Massachusetts,30066,25015,Hampshire
1003,42.39192,-72.52479,Amherst,Massachusetts,11238,25015,Hampshire
1005,42.42018,-72.10615,Barre,Massachusetts,4991,25027,Worcester
1007,42.27875,-72.40035999999999,Belchertown,Massachusetts,14967,25015,Hampshire
1008,42.18428,-72.95203000000001,Blandford,Massachusetts,1197,25013,Hampden
1009,42.209720000000004,-72.33971,Bondsville,Massachusetts,249,25013,Hampden
1010,42.12863,-72.20624000000001,Brimfield,Massachusetts,3739,25013,Hampden
1011,42.29653,-72.95969000000001,Chester,Massachusetts,1448,25013,Hampden
1012,42.38698,-72.84631999999999,Chesterfield,Massachusetts,560,25015,Hampshire
1013,42.1595,-72.60824000000001,Chicopee,Massachusetts,23065,25013,Hampden
1020,42.17637,-72.56537,Chicopee,Massachusetts,30097,25013,Hampden
1022,42.197309999999995,-72.54267,Chicopee,Massachusetts,2499,25013,Hampden
1026,42.4633,-72.92024,Cummington,Massachusetts,954,25015,Hampshire
1027,42.29508,-72.74309000000001,Easthampton,Massachusetts,17848,25015,Hampshire
1028,42.05968,-72.49908,East Longmeadow,Massachusetts,16200,25013,Hampden
1029,42.19632,-73.04836,East Otis,Massachusetts,651,25003,Berkshire
1030,42.06886,-72.67999,Feeding Hills,Massachusetts,11123,25013,Hampden
1031,42.32933,-72.19821999999999,Gilbertville,Massachusetts,1197,25027,Worcester
1032,42.45029,-72.81300999999999,Goshen,Massachusetts,533,25015,Hampshire
1033,42.26081,-72.50363,Granby,Massachusetts,6333,25015,Hampshire
1034,42.08485,-72.95765,Granville,Massachusetts,2179,25013,Hampden
1035,42.35564,-72.56921,Hadley,Massachusetts,5310,25015,Hampshire
1036,42.06369,-72.4159,Hampden,Massachusetts,5191,25013,Hampden
1037,42.37011,-72.19771999999999,Hardwick,Massachusetts,798,25027,Worcester
1038,42.3855,-72.60699,Hatfield,Massachusetts,2867,25015,Hampshire
1039,42.406290000000006,-72.69362,Haydenville,Massachusetts,1042,25015,Hampshire
1040,42.212559999999996,-72.64107,Holyoke,Massachusetts,40376,25013,Hampden
1050,42.28784,-72.86986,Huntington,Massachusetts,2422,25015,Hampshire
1053,42.35348,-72.71161,Leeds,Massachusetts,1702,25015,Hampshire
1054,42.47363,-72.48746,Leverett,Massachusetts,1983,25011,Franklin
1056,42.19212,-72.45804,Ludlow,Massachusetts,21336,25013,Hampden
1057,42.091640000000005,-72.32431,Monson,Massachusetts,8745,25013,Hampden
1060,42.32228,-72.63129,Northampton,Massachusetts,15779,25015,Hampshire
1062,42.3219,-72.69279,Florence,Massachusetts,10495,25015,Hampshire
1063,42.3191,-72.63896,Northampton,Massachusetts,592,25015,Hampshire
1066,42.40763,-72.65481,North Hatfield,Massachusetts,9,25015,Hampshire
1068,42.35002,-72.04606,Oakham,Massachusetts,1840,25027,Worcester
1069,42.18807,-72.30555,Palmer,Massachusetts,8698,25013,Hampden
1070,42.51853,-72.92390999999999,Plainfield,Massachusetts,604,25015,Hampshire
1071,42.16035,-72.86,Russell,Massachusetts,1270,25013,Hampden
1072,42.457370000000004,-72.41841,Shutesbury,Massachusetts,1536,25011,Franklin
1073,42.23083,-72.73857,Southampton,Massachusetts,6140,25015,Hampshire
1074,42.38661,-72.09427,South Barre,Massachusetts,548,25027,Worcester
1075,42.25674,-72.57923000000001,South Hadley,Massachusetts,17763,25015,Hampshire
1077,42.05437,-72.77851,Southwick,Massachusetts,9727,25013,Hampden
1079,42.19437,-72.33014,Thorndike,Massachusetts,658,25013,Hampden
1080,42.18206,-72.36564,Three Rivers,Massachusetts,2802,25013,Hampden
1081,42.06234,-72.23094,Wales,Massachusetts,1941,25013,Hampden
1082,42.2948,-72.27776,Ware,Massachusetts,10586,25015,Hampshire
1083,42.20382,-72.19496,Warren,Massachusetts,2986,25027,Worcester
1084,42.39038,-72.88089000000001,West Chesterfield,Massachusetts,174,25015,Hampshire
1085,42.15371,-72.76958,Westfield,Massachusetts,41942,25013,Hampden
1086,42.1304,-72.79397,Westfield,Massachusetts,372,25013,Hampden
1088,42.3901,-72.6478,West Hatfield,Massachusetts,416,25015,Hampshire
1089,42.12534,-72.65026999999999,West Springfield,Massachusetts,28666,25013,Hampden
1092,42.19972,-72.23727,West Warren,Massachusetts,1425,25027,Worcester
1093,42.43439,-72.65304,Whately,Massachusetts,283,25011,Franklin
1094,42.35945,-72.13847,Wheelwright,Massachusetts,282,25027,Worcester
1095,42.127629999999996,-72.42994,Wilbraham,Massachusetts,14690,25013,Hampden
1096,42.4042,-72.76817,Williamsburg,Massachusetts,2695,25015,Hampshire
1097,42.17603,-72.8313,Woronoco,Massachusetts,59,25013,Hampden
1098,42.3946,-72.94242,Worthington,Massachusetts,1196,25015,Hampshire
1103,42.104,-72.59204,Springfield,Massachusetts,2389,25013,Hampden
1104,42.134029999999996,-72.56681,Springfield,Massachusetts,23876,25013,Hampden
1105,42.09916,-72.57898,Springfield,Massachusetts,11957,25013,Hampden
1106,42.047909999999995,-72.57176,Longmeadow,Massachusetts,16022,25013,Hampden
1107,42.12129,-72.6055,Springfield,Massachusetts,11582,25013,Hampden
1108,42.08055,-72.55983,Springfield,Massachusetts,27850,25013,Hampden
1109,42.11837,-72.54875,Springfield,Massachusetts,29903,25013,Hampden
1118,42.09476,-72.52534,Springfield,Massachusetts,14980,25013,Hampden
1119,42.12455,-72.51122,Springfield,Massachusetts,13626,25013,Hampden
1128,42.094879999999996,-72.48814,Springfield,Massachusetts,2672,25013,Hampden
1129,42.12099,-72.48774,Springfield,Massachusetts,6762,25013,Hampden
1151,42.15294,-72.50877,Indian Orchard,Massachusetts,8807,25013,Hampden
1199,42.12065,-72.6045,Springfield,Massachusetts,0,25013,Hampden
1201,42.44993,-73.27644000000001,Pittsfield,Massachusetts,44607,25003,Berkshire
1220,42.62372,-73.11718,Adams,Massachusetts,8209,25003,Berkshire
1222,42.05898,-73.32078,Ashley Falls,Massachusetts,810,25003,Berkshire
1223,42.31176,-73.0994,Becket,Massachusetts,2402,25003,Berkshire
1224,42.50662,-73.19745999999999,Berkshire,Massachusetts,210,25003,Berkshire
1225,42.562670000000004,-73.15484000000001,Cheshire,Massachusetts,3135,25003,Berkshire
1226,42.48168,-73.13991999999999,Dalton,Massachusetts,6782,25003,Berkshire
